Sample,Family,Genus,Species,Species2,Locality,Form_short,Sex,Date.collected,SVL,Tail.length,3FTx,PLA2,SVMP,SVSP,CTL,CRiSP,Kun,LAAO,5N,AChE,AmPep,Cys,Dis,Hyal,NGF,NP,Oha-Vesp,PDE,PLB,PLC,VEGF,Venom factor,Venom peroxiredoxin,Waprin,"DEF (Defensin, Crotamine)",Mpi (snake venom metalloprotease inhibitor),Waglerin,Endopeptidase,Trypsinogen,Protease inhibitor,Peptides,Other,Unidentified,TOTAL,Reference
Abidin et al. 2016 1,Viperidae,Trimeresurus,purpureomaculatus,Trimeresurus purpureomaculatus,Malaysia,PublishedProteome,,,,,0,8,35,12,19,6,0,10,2,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100,Abidin et al. 2016
Abidin et al. 2016 2,Viperidae,Tropidolaemus,wagleri,Tropidolaemus wagleri,Malaysia,PublishedProteome,,,,,0,15,7,8,23,0,0,8,8,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,15,0,0,0,0,0,0,100,Abidin et al. 2016
Adamude et al. 2021 1,Elapidae,Naja,haje,Naja haje haje,(Nigeria),PublishedProteome,,,,,52.14,24.02,7.2,0,0.3,4.85,0,3.63,0,0,0,0,0,0.4,0,0,0,0,0.3,0,0.01,2.93,0,0,0,0,0,0,0,2,0.08,0.76,0,98.62,Adamude et al. 2021
Adamude et al. 2021 2,Elapidae,Naja,katiensis,Naja katiensis,(Nigeria),PublishedProteome,,,,,52.2,26,4.7,0,0.7,7,0.9,4.36,0,0,0,0,0,0.07,0,0,0,0,0.1,0,0.01,2.83,0,0,0,0,0,0,0,0.91,0.08,0,0,99.86,Adamude et al. 2021
Adamude et al. 2021 3,Elapidae,Naja,nigricollis,Naja nigricollis,Nigeria,PublishedProteome,,,,,41,36.5,7.91,0,0.5,3.4,0,4.02,0,0,0,0,0,0,0,0,0,0,0.7,0,0.01,1,0,0,0,0,0,0,0,1,0,1.3,0,97.34,Adamude et al. 2021
Ainsworth et al. 2018 1,Elapidae,Dendroaspis,angusticeps,Dendroaspis angusticeps,,PublishedProteome,,,,,64.2,0,0,0,0,0,15.5,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,17.4,99.85,Ainsworth et al. 2018
Ainsworth et al. 2018 2,Elapidae,Dendroaspis,jamesoni,Dendroaspis jamesoni jamesoni,,PublishedProteome,,,,,65.5,2.2,0,0,0,0,16.3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,13.4,101.6,Ainsworth et al. 2018
Ainsworth et al. 2018 3,Elapidae,Dendroaspis,jamesoni,Dendroaspis jamesoni kaimosae,,PublishedProteome,,,,,74.8,1.8,0,0,0,0,9.6,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,12.7,101.5,Ainsworth et al. 2018
Ainsworth et al. 2018 4,Elapidae,Dendroaspis,polylepis,Dendroaspis polylepis,,PublishedProteome,,,,,40,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,17.8,100,Ainsworth et al. 2018
Ainsworth et al. 2018 5,Elapidae,Dendroaspis,viridis,Dendroaspis viridis,,PublishedProteome,,,,,76.7,0.2,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,15.3,101.2,Ainsworth et al. 2018
