Sample,D.E.Venom.Collection.Number,Family,Genus,Species,Species2,Form_short,Sex,Date.collected,SVL,Tail.length,3FTx,PLA2,SVMP,SVSP,CTL,CRiSP,Kun,LAAO,5N,AChE,AmPep,Cys,Dis,Hyal,NGF,NP,Oha-Vesp,PDE,PLB,PLC,VEGF,Venom factor,Venom peroxiredoxin,Waprin,Other
iBAQ D1_RB_Venom,DEVC 001,Elapidae,Pseudechis,porphyriacus,Pseudechis porphyriacus,MilkedVenom,,NA,NA,NA,3.84776454,90.73247309,1.618982968,0.309796043,0,0.657043988,0.48639814,0.394760649,0.05810005,0,0.000328499,0.004491247,0.015503245,0.001178596,1.775875134,0,0.049994013,0,0.047309801,0,0,0,0,0,0
iBAQ D10_RB_Gland,DEVC 010,Elapidae,Pseudechis,porphyriacus,Pseudechis porphyriacus,PreservedFixedGland,,1965,NA,NA,1.648734849,92.43464962,2.807644001,0.029248158,0.012411205,1.658877682,0.243764208,0.012274328,0.003498065,0,0.002201054,0.020862638,0.003324478,0,1.011600767,0,0.029916571,0,0.054701977,0,0,0.000109162,0.026181239,0,0
iBAQ D12_TS_Gland,DEVC 012,Elapidae,Notechis,scutatus,Notechis scutatus,PreservedFixedGland,,1965,NA,NA,2.384924215,79.5472625,0.993424361,13.16433401,0,1.62325936,0,0,0.063916573,0.039187254,0.035388531,0.378939055,0,0.000933935,0.003823602,0,1.006760005,0.004059902,0.248539186,0,0.100133551,0.004350596,0.392219414,0.008543955,0
iBAQ D14_DA_Gland,DEVC 014,Elapidae,Acanthophis,antarcticus,Acanthophis antarcticus,PreservedFixedGland,,1965,NA,NA,38.74922269,52.3164233,0.15468712,0.048053642,1.588554594,0.129354853,0,0.667925797,0,0.00566258,0.014765589,0,0,0,6.252327469,0.073022368,0,0,0,0,0,0,0,0,0
iBAQ D2_DA_Venom,DEVC 002,Elapidae,Acanthophis,antarcticus,Acanthophis antarcticus,MilkedVenom,,NA,NA,NA,48.67062362,42.95160769,0.435131837,0.056377209,4.937271188,1.093669411,0.31282309,0.739685439,0.089913251,0.084314579,0.011760258,0.00113605,0,0.014004537,0.543953463,0.01082076,0,0,0.046907613,0,0,0,0,0,0
iBAQ D3_TS_Venom,DEVC 003,Elapidae,Notechis,scutatus,Notechis scutatus,MilkedVenom,,NA,NA,NA,17.17333919,67.8179834,0.093693116,4.812357107,0,0.524017851,2.859995391,0.594154705,0.056377571,0.060431305,0.000528482,0.044286475,0,0.006870605,2.118433764,0.069777113,0.468585112,0.010036797,3.246537163,0,0.001972877,0.003657406,0,0.034277478,0.0026871
iBAQ D4_RB_Gland,DEVC 004,Elapidae,Pseudechis,porphyriacus,Pseudechis porphyriacus,PreservedFixedGland,,1965,NA,NA,0.397456695,92.80091125,3.063180544,0.64351542,0.026043432,2.024412211,0.022588303,0.567801576,0.075651593,0.000297795,0.013345143,0.118011232,0.01027569,0.00135181,0.069641684,0,0.017702919,0,0.01735439,0,0.003187858,0.001067803,0.126202658,0,0
iBAQ D6_TS_Gland,DEVC 006,Elapidae,Notechis,scutatus,Notechis scutatus,PreservedFixedGland,,1965,NA,NA,22.25998206,73.91905997,0.241389,1.167219856,0,0.98995293,0.187148682,0.062084434,0.01671766,0.022540014,0.005774722,0.116372471,0,0,0.109202492,0.003560523,0.306002535,0,0.441898622,0,0,0,0.151094031,0,0
iBAQ D8_DA_Gland,DEVC 008,Elapidae,Acanthophis,antarcticus,Acanthophis antarcticus,PreservedFixedGland,,1965,NA,NA,49.09844685,40.56881898,0,0.072713468,3.41904061,0.092145756,0.011629186,0.211046364,0,0.006482818,0,0,0,0.010763914,6.485948743,0.019073417,0,0,0.003889895,0,0,0,0,0,0
iBAQ DEVC_015,DEVC 015,Viperidae,Crotalus,unicolor,Crotalus unicolor,FrozenEthanolGland,Male,2018,930,NA,85.50540977,9.673253444,0.072974058,0.03867614,0,0.027417028,0,0.064497318,0.147879823,0,0,0.13181287,0,0,0.267400642,0,0.012604294,2.456096723,0,0,0.040867089,0.365504483,1.162953583,0,0.032652738
